Data;CHF (Cena kupna);CHF (Cena sprzedazy)
2000-03-14 08:00:00;2.4317;2.497
2000-03-15 08:00:00;2.4244;2.4898
2000-03-16 08:00:00;2.4281;2.4935
2000-03-17 08:00:00;2.4266;2.492
2000-03-17 08:45:00;2.4266;2.492
2000-03-20 08:00:00;2.424;2.4896
2000-03-21 08:00:00;2.4189;2.4847
2000-03-22 08:00:00;2.3976;2.4628
2000-03-23 08:00:00;2.4004;2.4658
2000-03-24 08:00:00;2.4286;2.4946
2000-03-27 08:00:00;2.4502;2.517
2000-03-28 08:00:00;2.4325;2.4991
2000-03-29 08:00:00;2.4226;2.4887
2000-03-30 08:00:00;2.4208;2.4866
2000-03-31 08:00:00;2.4594;2.5254
2000-04-03 08:00:00;2.4539;2.5198
2000-04-04 08:00:00;2.5018;2.5682
2000-04-05 08:00:00;2.53;2.5966
2000-04-06 08:00:00;2.5432;2.6102
2000-04-07 08:00:00;2.5108;2.5777
2000-04-10 08:00:00;2.4975;2.5643
2000-04-11 08:00:00;2.505;2.572
2000-04-12 08:00:00;2.458;2.5382
2000-04-12 09:55:00;2.458;2.5382
2000-04-13 08:00:00;2.5058;2.5726
2000-04-14 08:00:00;2.5014;2.5684
2000-04-17 08:00:00;2.6071;2.6747
2000-04-18 08:00:00;2.545;2.6118
2000-04-19 08:00:00;2.5252;2.5918
2000-04-20 08:00:00;2.5435;2.6099
2000-04-21 08:00:00;2.5389;2.6053
2000-04-25 08:00:00;2.5347;2.6009
2000-04-26 08:00:00;2.5013;2.5671
2000-04-27 08:00:00;2.5025;2.5682
2000-04-28 08:00:00;2.5451;2.6234
2000-05-02 08:00:00;2.5778;2.6436
2000-05-04 08:00:00;2.5876;2.6536
2000-05-05 08:00:00;2.6295;2.6949
2000-05-08 08:00:00;2.6347;2.7003
2000-05-09 08:00:00;2.5722;2.6378
2000-05-10 08:00:00;2.5212;2.587
2000-05-11 08:00:00;2.5996;2.6654
2000-05-12 08:00:00;2.5483;2.6139
2000-05-15 08:00:00;2.5981;2.6645
2000-05-16 08:00:00;2.526;2.592
2000-05-16 10:40:00;2.526;2.592
2000-05-17 08:00:00;2.5442;2.6102
2000-05-17 09:35:00;2.5442;2.6102
2000-05-18 08:00:00;2.5573;2.6228
2000-05-18 09:05:00;2.5573;2.6228
2000-05-18 09:30:00;2.5921;2.6577
2000-05-18 12:30:00;2.5921;2.6577
2000-05-19 08:00:00;2.5517;2.6171
2000-05-19 10:20:00;2.5517;2.6171
2000-05-22 08:00:00;2.5722;2.6378
2000-05-23 08:00:00;2.6244;2.6904
2000-05-23 11:30:00;2.6244;2.6904
2000-05-24 08:00:00;2.6157;2.6813
2000-05-24 09:45:00;2.6157;2.6813
2000-05-24 10:45:00;2.5966;2.6624
2000-05-25 08:00:00;2.5932;2.6588
2000-05-25 10:50:00;2.5932;2.6588
2000-05-26 08:00:00;2.6172;2.683
2000-05-29 08:00:00;2.6419;2.7083
2000-05-29 09:00:00;2.6419;2.7083
2000-05-29 11:40:00;2.6419;2.7083
2000-05-30 08:00:00;2.6354;2.7016
2000-05-30 09:50:00;2.6354;2.7016
2000-05-30 11:40:00;2.6216;2.688
2000-05-31 08:00:00;2.5974;2.6634
2000-05-31 09:25:00;2.5974;2.6634
2000-06-01 08:00:00;2.5708;2.6476
2000-06-02 08:00:00;2.5642;2.6408
2000-06-02 09:25:00;2.5642;2.6408
2000-06-02 12:15:00;2.5642;2.6408
2000-06-05 08:00:00;2.5577;2.6345
2000-06-06 08:00:00;2.5487;2.6259
2000-06-06 08:55:00;2.5487;2.6259
2000-06-06 10:30:00;2.5832;2.6602
2000-06-07 08:00:00;2.6151;2.6925
2000-06-07 09:30:00;2.6151;2.6925
2000-06-08 08:00:00;2.6151;2.6931
2000-06-08 09:30:00;2.6151;2.6931
2000-06-08 11:15:00;2.6482;2.7262
2000-06-09 08:00:00;2.6449;2.7227
2000-06-09 09:30:00;2.6449;2.7227
2000-06-12 08:00:00;2.641;2.7188
2000-06-13 08:00:00;2.6511;2.7291
2000-06-14 08:00:00;2.6767;2.7549
2000-06-15 08:00:00;2.6602;2.7384
2000-06-16 08:00:00;2.6393;2.7172
2000-06-16 11:35:00;2.6393;2.7172
2000-06-19 08:00:00;2.6922;2.7708
2000-06-19 11:30:00;2.6922;2.7708
2000-06-20 08:00:00;2.6663;2.7447
2000-06-21 08:00:00;2.6515;2.7295
2000-06-21 12:10:00;2.6515;2.7295
2000-06-23 08:00:00;2.6326;2.7106
2000-06-23 11:15:00;2.6326;2.7106
2000-06-26 08:00:00;2.6427;2.7205
2000-06-27 08:00:00;2.6541;2.7321
2000-06-27 10:10:00;2.6541;2.7321
2000-06-28 08:00:00;2.6548;2.7334
2000-06-29 08:00:00;2.6377;2.7159
2000-06-30 08:00:00;2.6425;2.7209
2000-06-30 09:25:00;2.6425;2.7209
2000-06-30 13:00:00;2.6425;2.7209
2000-07-03 08:00:00;2.6305;2.7087
2000-07-03 11:35:00;2.6305;2.7087
2000-07-04 08:00:00;2.5919;2.6703
2000-07-05 08:00:00;2.6045;2.6827
2000-07-05 09:30:00;2.6045;2.6827
2000-07-05 12:10:00;2.6045;2.6827
2000-07-06 08:00:00;2.6284;2.7071
2000-07-07 08:00:00;2.6211;2.6999
2000-07-10 08:00:00;2.6234;2.7022
2000-07-10 12:00:00;2.6234;2.7022
2000-07-11 08:00:00;2.6062;2.685
2000-07-11 11:10:00;2.6062;2.685
2000-07-12 08:00:00;2.572;2.6504
2000-07-12 09:55:00;2.572;2.6504
2000-07-13 08:00:00;2.5663;2.6439
2000-07-14 08:00:00;2.5667;2.6446
2000-07-14 10:00:00;2.5667;2.6446
2000-07-17 08:00:00;2.5999;2.6781
2000-07-17 08:30:00;2.5999;2.6781
2000-07-17 08:35:00;2.5999;2.6781
2000-07-18 08:00:00;2.5705;2.6483
2000-07-19 08:00:00;2.5533;2.6308
2000-07-20 08:00:00;2.5575;2.6349
2000-07-21 08:00:00;2.5609;2.6386
2000-07-21 10:10:00;2.5609;2.6386
2000-07-24 08:00:00;2.5492;2.6268
2000-07-25 08:00:00;2.5426;2.62
2000-07-26 08:00:00;2.5627;2.6407
2000-07-27 08:00:00;2.5674;2.645
2000-07-28 08:00:00;2.558;2.6357
2000-07-31 08:00:00;2.5532;2.6304
2000-08-01 08:00:00;2.56;2.6374
2000-08-01 10:05:00;2.56;2.6374
2000-08-01 11:00:00;2.56;2.6374
2000-08-02 08:00:00;2.5593;2.6367
2000-08-03 08:00:00;2.5583;2.6357
2000-08-04 08:00:00;2.5481;2.6251
2000-08-07 08:00:00;2.5408;2.6176
2000-08-08 08:00:00;2.5276;2.6046
2000-08-09 08:00:00;2.5164;2.593
2000-08-09 11:30:00;2.5164;2.593
2000-08-10 08:00:00;2.5126;2.5894
2000-08-11 08:00:00;2.5097;2.5867
2000-08-14 08:00:00;2.4952;2.5712
2000-08-16 08:00:00;2.4985;2.5748
2000-08-17 08:00:00;2.5003;2.5765
2000-08-17 09:40:00;2.5003;2.5765
2000-08-18 08:00:00;2.4871;2.5633
2000-08-21 08:00:00;2.476;2.552
2000-08-22 08:00:00;2.4628;2.5388
2000-08-23 08:00:00;2.4548;2.5306
2000-08-24 08:00:00;2.4891;2.5655
2000-08-25 08:00:00;2.5023;2.5785
2000-08-25 11:40:00;2.5023;2.5785
2000-08-28 08:00:00;2.5249;2.6017
2000-08-29 08:00:00;2.5098;2.5862
2000-08-30 08:00:00;2.4939;2.5699
2000-08-31 08:00:00;2.498;2.574
2000-09-01 08:00:00;2.4836;2.5598
2000-09-01 10:10:00;2.4836;2.5598
2000-09-04 08:00:00;2.4986;2.575
2000-09-05 08:00:00;2.4768;2.553
2000-09-05 11:20:00;2.4768;2.553
2000-09-06 08:00:00;2.4527;2.5285
2000-09-07 08:00:00;2.4322;2.5072
2000-09-07 10:10:00;2.4322;2.5072
2000-09-07 10:50:00;2.4322;2.5072
2000-09-07 11:50:00;2.4322;2.5072
2000-09-08 08:00:00;2.4471;2.5221
2000-09-11 08:00:00;2.4519;2.5271
2000-09-12 08:00:00;2.478;2.5542
2000-09-12 10:00:00;2.478;2.5542
2000-09-13 08:00:00;2.4921;2.5681
2000-09-13 09:40:00;2.4921;2.5681
2000-09-13 10:10:00;2.5211;2.5971
2000-09-13 12:10:00;2.5211;2.5971
2000-09-14 08:00:00;2.5062;2.582
2000-09-14 13:15:00;2.5182;2.5944
2000-09-15 08:00:00;2.5012;2.5768
2000-09-15 11:40:00;2.5012;2.5768
2000-09-18 08:00:00;2.4808;2.5564
2000-09-18 09:20:00;2.4808;2.5564
2000-09-18 10:00:00;2.4808;2.5564
2000-09-18 10:40:00;2.5087;2.5845
2000-09-18 12:40:00;2.5087;2.5845
2000-09-19 08:00:00;2.5104;2.5861
2000-09-19 09:00:00;2.5104;2.5861
2000-09-20 08:00:00;2.5482;2.6242
2000-09-21 08:00:00;2.5507;2.6269
2000-09-21 09:30:00;2.5507;2.6269
2000-09-22 08:00:00;2.5555;2.6317
2000-09-22 11:00:00;2.5555;2.6317
2000-09-25 08:00:00;2.6039;2.6811
2000-09-25 10:15:00;2.6039;2.6811
2000-09-26 08:00:00;2.5861;2.663
2000-09-26 09:30:00;2.5861;2.663
2000-09-27 08:00:00;2.6081;2.6851
2000-09-28 08:00:00;2.6017;2.6787
2000-09-28 11:10:00;2.6017;2.6787
2000-09-28 13:00:00;2.6017;2.6787
2000-09-29 08:00:00;2.5787;2.6557
2000-10-02 08:00:00;2.5881;2.665
2000-10-02 09:30:00;2.5881;2.665
2000-10-03 08:00:00;2.5861;2.6627
2000-10-03 09:30:00;2.5861;2.6627
2000-10-04 08:00:00;2.5921;2.6692
2000-10-05 08:00:00;2.5784;2.6554
2000-10-05 13:15:00;2.5784;2.6554
2000-10-06 08:00:00;2.5676;2.6442
2000-10-09 08:00:00;2.5654;2.642
2000-10-10 08:00:00;2.5611;2.6375
2000-10-10 11:35:00;2.5611;2.6375
2000-10-11 08:00:00;2.5906;2.6674
2000-10-11 09:30:00;2.5906;2.6674
2000-10-11 14:40:00;2.5906;2.6674
2000-10-12 08:00:00;2.6212;2.6981
2000-10-12 09:30:00;2.6212;2.6981
2000-10-13 08:00:00;2.6595;2.7367
2000-10-13 10:10:00;2.6595;2.7367
2000-10-16 08:00:00;2.6235;2.6999
2000-10-16 09:15:00;2.6235;2.6999
2000-10-16 10:15:00;2.5978;2.6742
2000-10-16 13:10:00;2.5978;2.6742
2000-10-17 08:00:00;2.6043;2.6805
2000-10-17 13:45:00;2.6043;2.6805
2000-10-18 08:00:00;2.5995;2.6759
2000-10-18 08:48:00;2.5995;2.6759
2000-10-19 08:00:00;2.6027;2.6787
2000-10-19 08:50:00;2.6027;2.6787
2000-10-19 12:30:00;2.6027;2.6787
2000-10-19 12:40:00;2.6027;2.6787
2000-10-20 08:00:00;2.5825;2.6585
2000-10-23 08:00:00;2.584;2.66
2000-10-23 09:10:00;2.584;2.66
2000-10-23 11:45:00;2.584;2.66
2000-10-24 08:00:00;2.5869;2.6631
2000-10-24 11:45:00;2.5869;2.6631
2000-10-24 13:45:00;2.5869;2.6631
2000-10-25 08:00:00;2.5607;2.6365
2000-10-25 11:00:00;2.5615;2.6375
