#Data,#Data ksiêgowania,#Opis,#Kwota,#Waluta,#Kwota pozosta³a do sp³aty,#Waluta
06-08-2008,06-08-2008,OTWARCIE KREDYTU - KAPITA£,162339.16,CHF,162339.16,CHF
06-08-2008,06-08-2008,OTWARCIE KREDYTU - PROWIZJA,636.14,PLN,0.00,PLN
06-08-2008,06-08-2008,OP£ATA ZWI¥ZANA Z KREDYTEM,4771.07,PLN,0.00,PLN
20-08-2008,20-08-2008,URUCHOMIENIE TRANSZY - KAPITA£,2510.17,CHF,164849.33,CHF
20-08-2008,20-08-2008,ZMNIEJSZNIE KWOTY KREDYTU,82.52,CHF,0.00,CHF
20-08-2008,20-08-2008,ZMIANA OKRESU KARENCJI KAPIT.,0.00,,0.00,
20-08-2008,20-08-2008,ZMIANA OKRESU KARENCJI KAPIT.,0.00,,164849.33,
20-08-2008,20-08-2008,ZMIANA OKRESU KARENCJI KAPIT.,0.00,,0.00,
20-08-2008,20-08-2008,ZMIANA OKRESU KARENCJI KAPIT.,0.00,,0.00,
20-08-2008,20-08-2008,ZMIANA OKRESU KARENCJI KAPIT.,0.00,,0.00,
20-08-2008,20-08-2008,ZMIANA OKRESU KARENCJI KAPIT.,0.00,,0.00,
15-09-2008,15-09-2008,SP£ATA RATY - ODSETKI,858.94,CHF,0.00,CHF
15-10-2008,15-10-2008,ZMIANA WYSOKOŒCI ODSETEK,0.00,,0.00,
15-10-2008,15-10-2008,SP£ATA RATY - ODSETKI,647.65,CHF,0.00,CHF
15-10-2008,15-10-2008,SP£ATA RATY - KAPITA£,216.35,CHF,164632.98,CHF
15-11-2008,17-11-2008,ZMIANA WYSOKOŒCI ODSETEK,0.00,,0.00,
17-11-2008,17-11-2008,SP£ATA RATY - ODSETKI,689.34,CHF,0.00,CHF
17-11-2008,17-11-2008,SP£ATA RATY - KAPITA£,189.56,CHF,164443.42,CHF
15-12-2008,15-12-2008,ZMIANA WYSOKOŒCI ODSETEK,0.00,,0.00,
15-12-2008,15-12-2008,SP£ATA RATY - ODSETKI,644.71,CHF,0.00,CHF
15-12-2008,15-12-2008,SP£ATA RATY - KAPITA£,218.35,CHF,164225.07,CHF
15-01-2009,15-01-2009,ZMIANA WYSOKOŒCI ODSETEK,0.00,,0.00,
15-01-2009,15-01-2009,SP£ATA RATY - ODSETKI,456.10,CHF,0.00,CHF
15-01-2009,15-01-2009,SP£ATA RATY - KAPITA£,265.17,CHF,163959.90,CHF
15-02-2009,16-02-2009,ZMIANA WYSOKOŒCI ODSETEK,0.00,,0.00,
16-02-2009,16-02-2009,SP£ATA RATY - ODSETKI,371.81,CHF,0.00,CHF
16-02-2009,16-02-2009,SP£ATA RATY - KAPITA£,296.71,CHF,163663.19,CHF
16-03-2009,16-03-2009,SP£ATA RATY - ODSETKI,317.64,CHF,0.00,CHF
16-03-2009,16-03-2009,SP£ATA RATY - KAPITA£,338.94,CHF,163324.25,CHF
15-04-2009,15-04-2009,ZMIANA WYSOKOŒCI ODSETEK,0.00,,0.00,
15-04-2009,15-04-2009,SP£ATA RATY - ODSETKI,350.95,CHF,0.00,CHF
15-04-2009,15-04-2009,SP£ATA RATY - KAPITA£,305.63,CHF,163018.62,CHF
15-05-2009,15-05-2009,SP£ATA RATY - ODSETKI,321.57,CHF,0.00,CHF
15-05-2009,15-05-2009,SP£ATA RATY - KAPITA£,323.99,CHF,162694.63,CHF
08-06-2009,08-06-2009,UBEZPIECZENIE KREDYTU,0.00,CHF,0.00,CHF
08-06-2009,08-06-2009,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-06-2009,15-06-2009,SP£ATA RATY - ODSETKI,331.63,CHF,0.00,CHF
15-06-2009,15-06-2009,SP£ATA RATY - KAPITA£,313.93,CHF,162380.70,CHF
15-06-2009,15-06-2009,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
09-07-2009,09-07-2009,OP£ATA ZWI¥ZANA Z KREDYTEM,50.00,PLN,0.00,PLN
15-07-2009,15-07-2009,SP£ATA RATY - ODSETKI,320.31,CHF,0.00,CHF
15-07-2009,15-07-2009,SP£ATA RATY - KAPITA£,325.25,CHF,162055.45,CHF
15-07-2009,15-07-2009,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
17-08-2009,17-08-2009,SP£ATA RATY - ODSETKI,330.33,CHF,0.00,CHF
17-08-2009,17-08-2009,SP£ATA RATY - KAPITA£,315.23,CHF,161740.22,CHF
15-08-2009,17-08-2009,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-09-2009,15-09-2009,SP£ATA RATY - ODSETKI,329.68,CHF,0.00,CHF
15-09-2009,15-09-2009,SP£ATA RATY - KAPITA£,315.88,CHF,161424.34,CHF
15-09-2009,15-09-2009,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-10-2009,15-10-2009,ZMIANA WYSOKOŒCI ODSETEK,0.00,,0.00,
15-10-2009,15-10-2009,SP£ATA RATY - ODSETKI,318.43,CHF,0.00,CHF
15-10-2009,15-10-2009,SP£ATA RATY - KAPITA£,327.13,CHF,161097.21,CHF
15-10-2009,15-10-2009,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
16-11-2009,16-11-2009,SP£ATA RATY - ODSETKI,313.32,CHF,0.00,CHF
16-11-2009,16-11-2009,SP£ATA RATY - KAPITA£,323.22,CHF,160773.99,CHF
15-11-2009,16-11-2009,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
11-12-2009,11-12-2009,ZMIANA WYSOKOŒCI ODSETEK,262.26,,0.00,
11-12-2009,11-12-2009,MODYFIKACJA ZABEZPIECZENIA,0.00,CHF,0.00,CHF
11-12-2009,11-12-2009,MODYFIKACJA ZABEZPIECZENIA,0.00,CHF,0.00,CHF
11-12-2009,11-12-2009,MODYFIKACJA ZABEZPIECZENIA,0.00,CHF,0.00,CHF
15-12-2009,15-12-2009,SP£ATA RATY - ODSETKI,284.99,CHF,0.00,CHF
15-12-2009,15-12-2009,SP£ATA RATY - KAPITA£,387.55,CHF,160386.44,CHF
15-12-2009,15-12-2009,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-01-2010,15-01-2010,SP£ATA RATY - ODSETKI,175.72,CHF,0.00,CHF
15-01-2010,15-01-2010,SP£ATA RATY - KAPITA£,382.29,CHF,160004.15,CHF
15-01-2010,15-01-2010,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-02-2010,15-02-2010,SP£ATA RATY - ODSETKI,175.30,CHF,0.00,CHF
15-02-2010,15-02-2010,SP£ATA RATY - KAPITA£,382.71,CHF,159621.44,CHF
15-02-2010,15-02-2010,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-03-2010,15-03-2010,SP£ATA RATY - ODSETKI,157.96,CHF,0.00,CHF
15-03-2010,15-03-2010,SP£ATA RATY - KAPITA£,400.05,CHF,159221.39,CHF
15-03-2010,15-03-2010,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-04-2010,15-04-2010,SP£ATA RATY - ODSETKI,174.45,CHF,0.00,CHF
15-04-2010,15-04-2010,SP£ATA RATY - KAPITA£,383.56,CHF,158837.83,CHF
15-04-2010,15-04-2010,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
17-05-2010,17-05-2010,SP£ATA RATY - ODSETKI,168.41,CHF,0.00,CHF
17-05-2010,17-05-2010,SP£ATA RATY - KAPITA£,389.60,CHF,158448.23,CHF
15-05-2010,17-05-2010,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-06-2010,15-06-2010,ZMIANA WYSOKOŒCI ODSETEK,0.00,,0.00,
15-06-2010,15-06-2010,SP£ATA RATY - ODSETKI,173.60,CHF,0.00,CHF
15-06-2010,15-06-2010,SP£ATA RATY - KAPITA£,384.41,CHF,158063.82,CHF
15-06-2010,15-06-2010,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-07-2010,15-07-2010,SP£ATA RATY - ODSETKI,144.21,CHF,0.00,CHF
15-07-2010,15-07-2010,SP£ATA RATY - KAPITA£,400.56,CHF,157663.26,CHF
15-07-2010,15-07-2010,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
16-08-2010,16-08-2010,SP£ATA RATY - ODSETKI,148.64,CHF,0.00,CHF
16-08-2010,16-08-2010,SP£ATA RATY - KAPITA£,396.13,CHF,157267.13,CHF
15-08-2010,16-08-2010,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
30-08-2010,30-08-2010,UBEZPIECZENIE KREDYTU,0.00,CHF,0.00,CHF
15-09-2010,15-09-2010,SP£ATA RATY - ODSETKI,148.26,CHF,0.00,CHF
15-09-2010,15-09-2010,SP£ATA RATY - KAPITA£,396.51,CHF,156870.62,CHF
15-09-2010,15-09-2010,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-09-2010,15-09-2010,OP£ACENIE SK£ADKI UBEZPIECZ.,97.85,PLN,0.00,PLN
15-10-2010,15-10-2010,SP£ATA RATY - ODSETKI,143.12,CHF,0.00,CHF
15-10-2010,15-10-2010,SP£ATA RATY - KAPITA£,401.65,CHF,156468.97,CHF
15-10-2010,15-10-2010,OP£ACENIE SK£ADKI UBEZPIECZ.,94.29,PLN,0.00,PLN
15-10-2010,15-10-2010,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-11-2010,15-11-2010,SP£ATA RATY - ODSETKI,147.51,CHF,0.00,CHF
15-11-2010,15-11-2010,SP£ATA RATY - KAPITA£,397.26,CHF,156071.71,CHF
15-11-2010,15-11-2010,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-11-2010,15-11-2010,OP£ACENIE SK£ADKI UBEZPIECZ.,94.29,PLN,0.00,PLN
15-12-2010,15-12-2010,SP£ATA RATY - ODSETKI,142.39,CHF,0.00,CHF
15-12-2010,15-12-2010,SP£ATA RATY - KAPITA£,402.38,CHF,155669.33,CHF
15-12-2010,15-12-2010,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-12-2010,15-12-2010,OP£ACENIE SK£ADKI UBEZPIECZ.,99.82,PLN,0.00,PLN
17-01-2011,17-01-2011,SP£ATA RATY - ODSETKI,146.76,CHF,0.00,CHF
17-01-2011,17-01-2011,SP£ATA RATY - KAPITA£,398.01,CHF,155271.32,CHF
15-01-2011,17-01-2011,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-01-2011,17-01-2011,OP£ACENIE SK£ADKI UBEZPIECZ.,96.68,PLN,0.00,PLN
15-02-2011,15-02-2011,SP£ATA RATY - ODSETKI,146.38,CHF,0.00,CHF
15-02-2011,15-02-2011,SP£ATA RATY - KAPITA£,398.39,CHF,154872.93,CHF
15-02-2011,15-02-2011,OP£ACENIE SK£ADKI UBEZPIECZ.,95.58,PLN,0.00,PLN
15-02-2011,15-02-2011,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-03-2011,15-03-2011,SP£ATA RATY - ODSETKI,131.88,CHF,0.00,CHF
15-03-2011,15-03-2011,SP£ATA RATY - KAPITA£,412.89,CHF,154460.04,CHF
15-03-2011,15-03-2011,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-03-2011,15-03-2011,OP£ACENIE SK£ADKI UBEZPIECZ.,100.28,PLN,0.00,PLN
15-04-2011,15-04-2011,SP£ATA RATY - ODSETKI,145.62,CHF,0.00,CHF
15-04-2011,15-04-2011,SP£ATA RATY - KAPITA£,399.15,CHF,154060.89,CHF
15-04-2011,15-04-2011,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-04-2011,15-04-2011,OP£ACENIE SK£ADKI UBEZPIECZ.,97.48,PLN,0.00,PLN
16-05-2011,16-05-2011,SP£ATA RATY - ODSETKI,140.55,CHF,0.00,CHF
16-05-2011,16-05-2011,SP£ATA RATY - KAPITA£,404.22,CHF,153656.67,CHF
15-05-2011,16-05-2011,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-05-2011,16-05-2011,OP£ACENIE SK£ADKI UBEZPIECZ.,99.24,PLN,0.00,PLN
15-06-2011,15-06-2011,SP£ATA RATY - ODSETKI,144.86,CHF,0.00,CHF
15-06-2011,15-06-2011,SP£ATA RATY - KAPITA£,399.91,CHF,153256.76,CHF
15-06-2011,15-06-2011,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-06-2011,15-06-2011,OP£ACENIE SK£ADKI UBEZPIECZ.,101.77,PLN,0.00,PLN
15-07-2011,15-07-2011,SP£ATA RATY - ODSETKI,139.82,CHF,0.00,CHF
15-07-2011,15-07-2011,SP£ATA RATY - KAPITA£,404.95,CHF,152851.81,CHF
15-07-2011,15-07-2011,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-07-2011,15-07-2011,OP£ACENIE SK£ADKI UBEZPIECZ.,110.38,PLN,0.00,PLN
16-08-2011,16-08-2011,SP£ATA RATY - ODSETKI,144.10,CHF,0.00,CHF
16-08-2011,16-08-2011,SP£ATA RATY - KAPITA£,400.67,CHF,152451.14,CHF
15-08-2011,16-08-2011,OP£ACENIE SK£ADKI UBEZPIECZ.,25.91,PLN,0.00,PLN
15-08-2011,16-08-2011,OP£ACENIE SK£ADKI UBEZPIECZ.,116.16,PLN,0.00,PLN
15-09-2011,15-09-2011,ZMIANA WYSOKOŒCI ODSETEK,0.00,,0.00,
15-09-2011,15-09-2011,SP£ATA RATY - ODSETKI,143.72,CHF,0.00,CHF
15-09-2011,15-09-2011,SP£ATA RATY - KAPITA£,401.05,CHF,152050.09,CHF
